,zurich,penumbra,compactness,x_ray_class,association
1988-11-14 03:23:00,E,K,I,M,associated
1988-11-14 11:50:00,D,K,I,M,associated
1988-11-14 13:44:00,F,A,I,M,associated
1988-11-14 16:40:00,F,H,I,M,associated
1988-11-16 04:15:00,F,K,I,M,associated
1988-11-16 06:31:00,F,K,I,M,associated
1988-11-16 14:11:00,F,K,I,M,associated
1988-11-16 15:00:00,D,A,O,M,associated
1988-11-16 17:29:00,F,K,I,M,associated
1988-11-16 19:57:00,F,K,I,M,associated
1988-11-24 21:58:00,F,K,O,M,associated
1988-11-26 23:30:00,D,S,I,M,associated
1988-11-27 22:07:00,D,H,I,M,associated
1988-12-09 03:16:00,D,A,I,M,associated
1988-12-09 21:17:00,D,A,O,M,associated
1988-12-10 22:59:00,D,S,O,M,associated
1988-12-13 01:30:00,D,K,O,M,associated
1988-12-14 13:37:00,E,K,I,M,associated
1988-12-14 17:29:00,F,K,I,M,associated
1988-12-14 20:35:00,E,A,O,M,associated
1988-12-15 21:23:00,E,S,I,M,associated
1988-12-16 08:38:00,D,K,C,X,associated
1988-12-17 17:32:00,C,S,O,M,associated
1988-12-18 09:13:00,E,K,C,M,associated
1988-12-18 16:35:00,D,S,O,M,associated
1988-12-18 16:51:00,F,K,O,X,associated
1988-12-19 00:30:00,F,K,I,M,associated
1988-12-19 18:43:00,D,K,I,M,associated
1988-12-20 01:52:00,E,K,I,M,associated
1988-12-21 15:53:00,D,K,O,M,associated
1988-12-22 15:55:00,D,A,O,M,associated
1988-12-22 23:07:00,C,A,O,M,associated
1988-12-23 08:48:00,C,S,O,M,associated
1988-12-24 16:56:00,E,K,I,M,associated
1988-12-26 20:18:00,D,A,O,M,associated
1988-12-27 05:30:00,E,K,O,M,associated
1988-12-28 00:27:00,E,A,C,M,associated
1988-12-28 08:25:00,E,A,I,M,associated
1988-12-28 12:18:00,E,K,O,M,associated
1988-12-28 14:25:00,E,A,I,M,associated
1988-12-28 18:43:00,E,A,I,M,associated
1988-12-28 23:42:00,E,H,O,M,associated
1988-12-29 11:55:00,E,K,I,M,associated
1989-01-01 06:12:00,E,K,I,M,associated
1989-01-02 10:17:00,E,S,I,M,associated
1989-01-03 11:42:00,E,S,O,M,associated
1989-01-03 13:44:00,E,S,I,M,associated
1989-01-03 17:38:00,D,K,O,M,associated
1989-01-04 16:03:00,E,A,I,M,associated
1989-01-06 17:53:00,E,K,O,M,associated
1989-01-06 19:14:00,D,A,I,M,associated
1989-01-07 04:12:00,E,K,O,X,associated
1989-01-07 13:06:00,D,A,I,M,associated
1989-01-07 17:00:00,C,A,O,M,associated
1989-01-07 18:10:00,C,A,O,M,associated
1989-01-07 18:29:00,F,K,C,M,associated
1989-01-07 19:05:00,F,K,C,M,associated
1989-01-08 07:57:00,F,K,C,M,associated
1989-01-08 12:28:00,F,K,C,M,associated
1989-01-08 15:02:00,B,X,O,M,associated
1989-01-08 18:57:00,E,K,I,M,associated
1989-01-08 23:25:00,F,K,C,M,associated
1989-01-09 04:58:00,F,K,I,M,associated
1989-01-09 06:32:00,E,A,I,M,associated
1989-01-09 15:42:00,F,K,I,M,associated
1989-01-09 19:14:00,F,K,C,M,associated
1989-01-10 00:26:00,F,K,C,M,associated
1989-01-10 06:22:00,F,K,C,M,associated
1989-01-10 17:33:00,F,K,C,M,associated
1989-01-10 20:23:00,F,K,C,X,associated
1989-01-11 00:51:00,F,K,C,M,associated
1989-01-12 04:17:00,F,K,C,M,associated
1989-01-12 20:29:00,E,A,O,M,associated
1989-01-13 00:03:00,F,K,C,M,associated
1989-01-13 08:29:00,F,K,C,X,associated
1989-01-13 16:18:00,F,K,C,M,associated
1989-01-13 18:45:00,E,K,O,M,associated
1989-01-13 20:27:00,E,K,O,M,associated
1989-01-14 02:15:00,F,K,C,M,associated
1989-01-14 02:54:00,F,K,C,X,associated
1989-01-14 13:53:00,F,K,I,M,associated
1989-01-14 21:18:00,F,K,C,M,associated
1989-01-14 21:45:00,F,K,C,X,associated
1989-01-15 07:58:00,F,K,C,M,associated
1989-01-15 12:38:00,F,K,C,M,associated
1989-01-15 15:46:00,F,K,I,M,associated
1989-01-16 06:16:00,F,K,C,M,associated
1989-01-16 08:25:00,F,K,C,M,associated
1989-01-16 15:04:00,F,K,C,M,associated
1989-01-20 15:10:00,D,K,C,M,associated
1989-01-23 00:50:00,E,K,I,M,associated
1989-01-23 01:48:00,E,K,I,M,associated
1989-01-24 17:30:00,F,K,I,M,associated
1989-01-24 22:43:00,F,H,I,M,associated
1989-01-25 14:49:00,F,K,I,M,associated
1989-01-26 04:19:00,F,K,I,M,associated
1989-01-26 14:08:00,F,K,I,M,associated
1989-01-26 23:50:00,E,A,I,M,associated
1989-01-27 03:27:00,F,A,I,M,associated
1989-01-27 15:16:00,F,K,C,M,associated
1989-01-27 19:08:00,F,K,I,X,associated
1989-01-28 12:17:00,F,K,C,M,associated
1989-01-28 21:38:00,E,A,I,M,associated
1989-01-29 11:40:00,F,A,I,M,associated
1989-01-30 00:43:00,E,A,I,M,associated
1989-01-30 20:40:00,F,A,I,M,associated
1989-01-31 01:18:00,E,A,I,M,associated
1989-01-31 03:06:00,E,A,I,M,associated
1989-01-31 12:01:00,E,K,I,M,associated
1989-01-31 17:34:00,F,A,I,M,associated
1989-01-31 21:01:00,E,S,I,M,associated
1989-02-01 02:05:00,E,A,I,M,associated
1989-02-01 10:01:00,E,A,I,M,associated
1989-02-01 10:01:00,C,R,O,M,associated
1989-02-06 02:13:00,F,K,C,M,associated
1989-02-06 09:19:00,F,K,C,M,associated
1989-02-06 19:17:00,F,K,C,M,associated
1989-02-07 16:38:00,F,K,C,M,associated
1989-02-08 10:59:00,C,K,O,M,associated
1989-02-08 14:49:00,F,K,C,M,associated
1989-02-08 19:53:00,F,K,I,M,associated
1989-02-09 12:56:00,D,A,O,X,associated
1989-02-09 19:17:00,F,K,C,M,associated
1989-02-11 11:39:00,D,R,I,M,associated
1989-02-13 18:11:00,B,X,O,M,associated
1989-02-14 04:40:00,F,K,I,M,associated
1989-02-16 03:40:00,E,A,O,M,associated
1989-02-16 04:24:00,F,K,O,M,associated
1989-02-16 16:31:00,C,A,O,M,associated
1989-02-17 22:12:00,C,A,O,M,associated
1989-02-20 13:56:00,F,A,I,M,associated
1989-02-21 12:07:00,F,K,I,M,associated
1989-02-21 18:17:00,F,K,I,M,associated
1989-02-21 21:58:00,E,A,I,M,associated
1989-02-21 23:43:00,E,A,I,M,associated
1989-02-22 07:56:00,E,K,I,M,associated
1989-02-22 12:59:00,E,K,I,M,associated
1989-02-23 04:22:00,E,K,I,M,associated
1989-02-27 01:35:00,E,A,I,M,associated
1989-02-28 17:56:00,D,K,O,M,associated
1989-03-01 12:05:00,E,A,O,M,associated
1989-03-02 09:00:00,D,A,O,M,associated
1989-03-06 13:54:00,E,K,C,X,associated
1989-03-07 05:19:00,E,K,C,M,associated
1989-03-07 13:19:00,E,K,C,M,associated
1989-03-07 14:47:00,E,K,C,X,associated
1989-03-07 16:53:00,E,K,C,M,associated
1989-03-07 22:23:00,E,K,C,M,associated
1989-03-08 14:13:00,F,K,C,M,associated
1989-03-09 02:39:00,E,K,C,M,associated
1989-03-09 12:56:00,E,K,C,M,associated
1989-03-09 15:15:00,E,K,C,X,associated
1989-03-09 19:13:00,E,K,C,M,associated
1989-03-09 23:04:00,E,K,C,M,associated
1989-03-10 03:00:00,E,K,C,M,associated
1989-03-10 11:09:00,E,K,C,M,associated
1989-03-10 15:25:00,E,K,C,M,associated
1989-03-10 17:32:00,E,K,C,M,associated
1989-03-10 18:48:00,E,K,C,X,associated
1989-03-11 01:54:00,E,K,C,M,associated
1989-03-11 03:30:00,E,K,C,M,associated
1989-03-11 05:14:00,F,K,C,M,associated
1989-03-11 06:42:00,F,K,C,M,associated
1989-03-11 08:29:00,E,K,C,M,associated
1989-03-11 14:02:00,E,K,C,M,associated
1989-03-11 15:35:00,E,K,C,X,associated
1989-03-12 00:16:00,F,K,C,M,associated
1989-03-12 14:56:00,F,K,C,M,associated
1989-03-12 20:28:00,F,K,C,M,associated
1989-03-12 23:35:00,F,K,C,M,associated
1989-03-13 01:32:00,E,K,C,M,associated
1989-03-13 02:59:00,E,K,C,X,associated
1989-03-13 06:21:00,F,K,C,M,associated
1989-03-13 12:59:00,F,K,C,M,associated
1989-03-13 17:31:00,F,K,C,M,associated
1989-03-13 22:11:00,F,K,C,M,associated
1989-03-14 02:19:00,F,K,C,M,associated
1989-03-14 08:35:00,F,K,C,M,associated
1989-03-14 16:46:00,F,K,C,X,associated
1989-03-14 19:28:00,F,K,C,M,associated
1989-03-15 06:24:00,F,K,C,M,associated
1989-03-15 12:27:00,F,K,C,M,associated
1989-03-15 13:33:00,F,K,C,M,associated
1989-03-15 16:43:00,F,K,C,M,associated
1989-03-16 15:24:00,F,K,C,X,associated
1989-03-16 17:32:00,F,K,C,M,associated
1989-03-16 18:26:00,F,K,C,M,associated
1989-03-16 20:35:00,F,K,C,X,associated
1989-03-16 22:03:00,D,S,O,M,associated
1989-03-17 07:15:00,F,K,C,M,associated
1989-03-17 11:07:00,F,K,C,M,associated
1989-03-17 20:07:00,D,A,I,M,associated
1989-03-17 23:11:00,F,K,C,M,associated
1989-03-18 17:33:00,E,K,C,M,associated
1989-03-18 20:30:00,F,K,C,M,associated
1989-03-19 07:38:00,D,A,C,M,associated
1989-03-19 19:44:00,D,K,I,M,associated
1989-03-20 03:58:00,D,A,O,M,associated
1989-03-20 14:27:00,E,A,I,M,associated
1989-03-20 14:27:00,D,K,O,M,associated
1989-03-20 15:41:00,E,A,I,M,associated
1989-03-20 15:41:00,D,K,O,M,associated
1989-03-20 20:38:00,E,K,O,M,associated
1989-03-22 11:13:00,E,K,C,M,associated
1989-03-22 19:49:00,E,K,I,M,associated
1989-03-24 20:28:00,E,K,I,M,associated
1989-03-26 13:03:00,E,K,I,M,associated
1989-03-27 03:13:00,E,A,I,M,associated
1989-04-03 22:01:00,F,K,I,M,associated
1989-04-05 08:55:00,C,A,O,M,associated
1989-04-05 11:55:00,F,H,I,M,associated
1989-04-09 00:44:00,D,K,O,X,associated
1989-04-09 02:02:00,D,A,O,M,associated
1989-04-13 21:33:00,E,K,I,M,associated
1989-04-20 05:21:00,F,K,O,M,associated
1989-04-22 03:32:00,F,A,I,M,associated
1989-04-23 23:55:00,C,H,O,M,associated
1989-05-01 01:08:00,D,A,I,M,associated
1989-05-02 04:07:00,E,A,I,M,associated
1989-05-02 16:04:00,E,A,I,M,associated
1989-05-03 19:27:00,E,K,I,M,associated
1989-05-03 20:54:00,E,K,I,M,associated
1989-05-04 03:13:00,E,K,C,M,associated
1989-05-04 03:35:00,E,K,C,M,associated
1989-05-04 08:19:00,E,K,C,M,associated
1989-05-04 11:06:00,E,K,C,M,associated
1989-05-04 18:38:00,E,K,I,M,associated
1989-05-04 18:57:00,E,K,I,M,associated
1989-05-04 20:28:00,E,K,C,M,associated
1989-05-04 22:20:00,E,K,C,M,associated
1989-05-05 05:24:00,E,K,C,M,associated
1989-05-05 07:23:00,F,A,C,X,associated
1989-05-06 14:42:00,E,K,I,M,associated
1989-05-07 21:13:00,E,K,O,M,associated
1989-05-09 16:53:00,B,X,O,M,associated
1989-05-12 11:19:00,E,K,I,M,associated
1989-05-21 14:34:00,E,K,O,M,associated
1989-05-21 17:33:00,E,K,C,M,associated
1989-05-21 17:50:00,E,K,C,M,associated
1989-05-21 18:35:00,E,K,C,M,associated
1989-05-22 00:02:00,E,K,I,M,associated
1989-05-22 15:14:00,F,A,I,M,associated
1989-05-23 01:46:00,E,A,I,M,associated
1989-05-24 13:46:00,F,A,I,M,associated
1989-05-24 21:34:00,E,A,O,M,associated
1989-05-25 15:20:00,F,K,I,M,associated
1989-05-26 22:18:00,F,K,I,M,associated
1989-05-28 12:09:00,F,K,I,M,associated
1989-05-28 22:09:00,C,K,O,M,associated
1989-05-29 02:48:00,D,K,I,M,associated
1989-05-29 03:37:00,F,A,I,M,associated
1989-05-29 04:27:00,F,A,I,M,associated
1989-06-02 06:05:00,D,A,I,M,associated
1989-06-02 17:35:00,D,K,I,M,associated
1989-06-03 10:17:00,E,A,I,M,associated
1989-06-03 11:30:00,C,A,O,M,associated
1989-06-03 13:13:00,E,A,I,M,associated
1989-06-03 16:56:00,C,A,O,M,associated
1989-06-03 18:29:00,D,K,O,X,associated
1989-06-04 08:17:00,D,K,I,M,associated
1989-06-04 14:04:00,C,S,O,M,associated
1989-06-04 21:16:00,E,K,I,M,associated
1989-06-05 01:31:00,E,K,I,M,associated
1989-06-05 08:27:00,E,K,C,M,associated
1989-06-05 11:12:00,E,K,C,M,associated
1989-06-06 01:03:00,E,K,I,M,associated
1989-06-06 16:32:00,E,K,C,M,associated
1989-06-07 01:34:00,E,K,I,M,associated
1989-06-07 10:08:00,E,K,C,M,associated
1989-06-07 10:49:00,E,K,C,M,associated
1989-06-07 19:08:00,E,K,I,M,associated
1989-06-08 09:08:00,F,K,I,M,associated
1989-06-09 00:06:00,E,K,I,M,associated
1989-06-10 09:38:00,E,K,O,M,associated
1989-06-10 12:07:00,E,K,I,M,associated
1989-06-10 12:53:00,F,K,C,M,associated
1989-06-10 16:50:00,E,S,I,M,associated
1989-06-10 19:04:00,E,S,I,M,associated
1989-06-12 02:19:00,F,K,O,M,associated
1989-06-13 13:26:00,F,K,C,M,associated
1989-06-14 13:50:00,E,A,O,M,associated
1989-06-14 15:47:00,F,K,C,M,associated
1989-06-14 16:29:00,E,S,I,M,associated
1989-06-14 18:20:00,F,K,C,M,associated
1989-06-15 14:19:00,F,K,C,M,associated
1989-06-15 18:13:00,F,K,O,X,associated
1989-06-15 18:41:00,F,K,C,M,associated
1989-06-15 21:32:00,F,K,C,M,associated
1989-06-16 04:15:00,F,H,I,M,associated
1989-06-16 04:19:00,F,H,I,X,associated
1989-06-16 05:05:00,F,H,I,M,associated
1989-06-16 12:03:00,B,X,O,M,associated
1989-06-16 12:23:00,F,K,I,M,associated
1989-06-16 16:44:00,F,H,I,M,associated
1989-06-16 18:40:00,F,H,I,M,associated
1989-06-16 21:48:00,F,H,I,M,associated
1989-06-17 15:49:00,F,K,C,M,associated
1989-06-19 05:30:00,F,K,I,M,associated
1989-06-19 21:38:00,F,A,I,M,associated
1989-06-20 17:25:00,F,K,I,M,associated
1989-06-20 20:12:00,F,K,O,M,associated
1989-06-20 22:01:00,F,K,O,M,associated
1989-06-21 01:42:00,E,K,I,M,associated
1989-06-21 04:47:00,F,K,I,M,associated
1989-06-21 11:25:00,E,K,O,M,associated
1989-06-21 18:49:00,E,K,I,M,associated
1989-06-24 03:20:00,E,K,I,M,associated
1989-06-25 03:47:00,E,H,I,M,associated
1989-06-26 15:41:00,D,A,I,M,associated
1989-06-30 14:51:00,F,K,I,M,associated
1989-06-30 17:36:00,E,K,I,M,associated
1989-07-03 23:59:00,D,A,O,M,associated
1989-07-05 16:25:00,C,S,O,M,associated
1989-07-09 00:52:00,C,A,O,M,associated
1989-07-20 20:25:00,D,A,I,M,associated
1989-07-25 08:39:00,D,A,O,X,associated
1989-07-31 20:58:00,D,K,I,M,associated
1989-07-31 23:15:00,C,A,O,M,associated
1989-08-02 23:04:00,E,K,O,M,associated
1989-08-02 23:04:00,B,X,O,M,associated
1989-08-05 10:18:00,B,X,O,M,associated
1989-08-06 00:47:00,E,A,O,M,associated
1989-08-06 07:47:00,D,A,O,M,associated
1989-08-06 11:30:00,D,A,O,M,associated
1989-08-06 23:47:00,D,A,O,M,associated
1989-08-07 00:37:00,D,K,C,M,associated
1989-08-07 09:20:00,C,S,I,M,associated
1989-08-07 20:21:00,D,K,O,M,associated
1989-08-07 21:36:00,E,A,O,M,associated
1989-08-08 05:09:00,E,S,O,M,associated
1989-08-10 01:40:00,E,K,C,M,associated
1989-08-11 16:12:00,E,K,I,M,associated
1989-08-11 19:46:00,D,K,I,M,associated
1989-08-11 20:01:00,E,K,C,M,associated
1989-08-11 22:43:00,E,K,C,M,associated
1989-08-12 03:01:00,F,K,I,M,associated
1989-08-12 07:57:00,F,K,I,M,associated
1989-08-12 13:57:00,F,K,I,X,associated
1989-08-13 07:17:00,E,K,I,M,associated
1989-08-14 00:31:00,E,K,C,X,associated
1989-08-14 09:41:00,E,K,C,M,associated
1989-08-14 11:59:00,D,K,O,M,associated
1989-08-14 19:14:00,E,K,C,M,associated
1989-08-14 23:58:00,E,K,C,M,associated
1989-08-15 01:02:00,E,K,I,M,associated
1989-08-15 01:59:00,E,K,I,X,associated
1989-08-15 13:29:00,D,K,I,M,associated
1989-08-15 17:47:00,D,K,I,M,associated
1989-08-15 18:50:00,D,K,O,M,associated
1989-08-15 23:41:00,E,K,C,M,associated
1989-08-29 12:42:00,F,K,C,M,associated
1989-08-29 14:53:00,D,K,C,M,associated
1989-08-29 16:59:00,D,K,C,M,associated
1989-08-29 17:17:00,D,K,C,M,associated
1989-08-29 23:51:00,D,K,C,M,associated
1989-08-30 02:39:00,E,K,C,M,associated
1989-08-30 16:48:00,F,K,C,M,associated
1989-08-31 00:52:00,F,K,C,M,associated
1989-08-31 16:05:00,E,K,I,M,associated
1989-09-01 08:10:00,E,K,C,X,associated
1989-09-01 14:59:00,E,K,I,M,associated
1989-09-01 15:39:00,E,K,I,M,associated
1989-09-01 23:50:00,E,K,C,M,associated
1989-09-02 11:30:00,F,K,C,M,associated
1989-09-02 20:41:00,F,K,C,M,associated
1989-09-02 22:25:00,F,K,C,M,associated
1989-09-03 14:28:00,F,K,I,X,associated
1989-09-03 23:36:00,F,K,C,M,associated
1989-09-04 06:25:00,F,K,C,M,associated
1989-09-04 08:57:00,F,K,I,X,associated
1989-09-04 12:02:00,F,K,I,M,associated
1989-09-04 13:05:00,C,A,I,M,associated
1989-09-05 13:38:00,F,K,I,M,associated
1989-09-05 13:38:00,F,K,C,M,associated
1989-09-05 21:39:00,F,K,C,M,associated
1989-09-05 22:06:00,F,K,C,M,associated
1989-09-05 23:36:00,E,K,I,M,associated
1989-09-06 00:44:00,F,K,I,M,associated
1989-09-07 05:29:00,F,K,C,M,associated
1989-09-07 08:23:00,F,K,C,M,associated
1989-09-07 15:33:00,F,K,I,M,associated
1989-09-07 20:51:00,F,K,C,M,associated
1989-09-08 04:08:00,F,K,I,M,associated
1989-09-08 21:03:00,F,K,I,M,associated
1989-09-09 09:10:00,F,K,I,X,associated
1989-09-09 18:51:00,E,K,I,M,associated
1989-09-09 19:28:00,F,K,I,X,associated
1989-09-10 01:35:00,F,A,I,M,associated
1989-09-10 05:36:00,F,K,I,M,associated
1989-09-10 06:27:00,F,A,O,M,associated
1989-09-10 07:48:00,F,K,I,M,associated
1989-09-11 19:38:00,E,K,I,M,associated
1989-09-11 23:44:00,D,A,I,M,associated
1989-09-12 10:03:00,C,S,O,M,associated
1989-09-15 22:30:00,D,A,I,M,associated
1989-09-16 16:22:00,C,A,O,M,associated
1989-09-17 18:31:00,D,K,I,M,associated
1989-09-18 18:49:00,D,K,I,M,associated
1989-09-19 10:00:00,E,K,C,M,associated
1989-09-21 02:59:00,E,K,C,M,associated
1989-09-21 13:08:00,E,K,C,M,associated
1989-09-21 19:06:00,E,K,C,M,associated
1989-09-24 08:14:00,E,K,I,M,associated
1989-09-25 13:12:00,E,K,C,M,associated
1989-09-25 23:44:00,C,S,O,M,associated
1989-09-27 17:00:00,E,K,I,M,associated
1989-09-27 23:55:00,C,A,O,M,associated
1989-09-28 13:47:00,F,S,O,M,associated
1989-09-30 02:39:00,F,H,O,M,associated
1989-10-02 08:41:00,F,H,O,M,associated
1989-10-13 05:00:00,C,S,O,M,associated
1989-10-14 22:39:00,D,K,C,M,associated
1989-10-14 23:33:00,D,K,C,M,associated
1989-10-15 14:20:00,E,K,O,M,associated
1989-10-17 18:50:00,D,K,C,M,associated
1989-10-18 00:15:00,D,K,C,M,associated
1989-10-18 04:36:00,D,K,C,M,associated
1989-10-19 08:45:00,E,K,I,M,associated
1989-10-19 12:29:00,D,K,C,X,associated
1989-10-20 03:39:00,D,K,I,M,associated
1989-10-20 14:15:00,D,K,C,M,associated
1989-10-20 21:30:00,E,K,C,M,associated
1989-10-21 01:53:00,E,K,C,M,associated
1989-10-21 06:40:00,E,K,I,M,associated
1989-10-21 23:54:00,E,K,I,M,associated
1989-10-22 11:15:00,E,K,C,M,associated
1989-10-22 15:54:00,D,K,C,M,associated
1989-10-22 17:08:00,D,K,C,X,associated
1989-10-23 06:38:00,D,A,I,M,associated
1989-10-23 12:35:00,D,K,C,X,associated
1989-10-24 17:36:00,D,K,I,X,associated
1989-10-25 16:37:00,E,K,I,M,associated
1989-11-02 12:16:00,E,K,O,M,associated
1989-11-03 19:53:00,E,A,I,M,associated
1989-11-05 07:19:00,E,K,I,M,associated
1989-11-06 12:10:00,D,A,I,M,associated
1989-11-06 13:43:00,D,A,I,M,associated
1989-11-07 02:55:00,D,A,I,M,associated
1989-11-07 06:10:00,E,K,O,M,associated
1989-11-07 16:32:00,E,A,I,M,associated
1989-11-07 19:30:00,E,A,O,M,associated
1989-11-07 19:31:00,E,A,O,M,associated
1989-11-08 06:01:00,D,A,I,M,associated
1989-11-08 18:18:00,E,K,I,M,associated
1989-11-08 18:56:00,D,A,O,M,associated
1989-11-08 23:16:00,E,A,O,M,associated
1989-11-09 14:46:00,F,K,O,M,associated
1989-11-09 18:38:00,F,A,I,M,associated
1989-11-09 19:19:00,F,K,I,M,associated
1989-11-09 21:36:00,C,A,O,M,associated
1989-11-10 03:39:00,F,K,I,M,associated
1989-11-10 11:29:00,F,K,C,M,associated
1989-11-10 12:55:00,F,K,C,M,associated
1989-11-10 19:47:00,C,A,O,M,associated
1989-11-11 18:29:00,E,K,I,M,associated
1989-11-12 06:21:00,F,K,I,X,associated
1989-11-12 08:59:00,F,A,O,M,associated
1989-11-14 21:38:00,F,K,I,M,associated
1989-11-15 04:45:00,F,S,I,M,associated
1989-11-15 06:38:00,F,K,I,X,associated
1989-11-15 19:18:00,E,K,O,X,associated
1989-11-16 13:08:00,D,K,C,X,associated
1989-11-16 22:34:00,D,K,O,M,associated
1989-11-17 07:55:00,E,A,O,M,associated
1989-11-17 12:37:00,D,H,O,M,associated
1989-11-18 15:51:00,E,K,I,M,associated
1989-11-19 06:19:00,E,K,I,X,associated
1989-11-19 11:23:00,E,K,I,M,associated
1989-11-19 16:06:00,E,A,I,M,associated
1989-11-20 14:17:00,E,K,I,M,associated
1989-11-20 21:25:00,E,K,I,X,associated
1989-11-21 09:08:00,D,A,I,M,associated
1989-11-21 13:32:00,D,A,O,X,associated
1989-11-22 13:20:00,D,A,O,M,associated
1989-11-25 22:55:00,D,K,I,X,associated
1989-11-26 17:56:00,D,K,I,M,associated
1989-11-27 17:03:00,D,A,O,M,associated
1989-11-30 11:45:00,C,K,O,X,associated
1989-12-02 21:54:00,D,K,I,M,associated
1989-12-04 03:22:00,D,K,O,M,associated
1989-12-04 19:36:00,D,K,O,M,associated
1989-12-05 15:31:00,C,K,O,M,associated
1989-12-07 20:56:00,D,A,O,M,associated
1989-12-14 02:07:00,E,H,I,M,associated
1989-12-18 08:31:00,D,A,O,M,associated
1989-12-18 23:36:00,D,A,O,M,associated
1989-12-20 19:03:00,B,X,O,M,associated
1989-12-22 23:14:00,D,A,O,M,associated
1989-12-24 13:21:00,D,A,I,M,associated
1989-12-25 00:10:00,F,A,O,M,associated
1989-12-25 16:08:00,E,X,I,M,associated
1989-12-26 05:24:00,E,K,I,M,associated
1989-12-26 07:42:00,F,K,I,M,associated
1989-12-26 18:10:00,E,K,C,M,associated
1989-12-27 12:37:00,E,K,I,M,associated
1989-12-27 21:46:00,E,K,I,M,associated
1989-12-28 09:57:00,E,K,O,M,associated
1989-12-28 21:08:00,D,K,I,M,associated
1989-12-29 16:10:00,D,K,O,M,associated
1989-12-29 18:28:00,D,K,O,M,associated
1989-12-29 20:04:00,E,K,C,M,associated
1989-12-29 23:04:00,E,K,C,M,associated
1989-12-31 09:32:00,E,K,I,X,associated
1990-01-01 21:19:00,D,K,O,M,associated
1990-01-09 14:51:00,C,A,O,M,associated
1990-01-09 20:40:00,C,K,O,M,associated
1990-01-12 00:45:00,E,A,I,M,associated
1990-01-12 21:16:00,C,K,I,M,associated
1990-01-14 10:05:00,E,A,I,M,associated
1990-01-19 15:28:00,E,A,O,M,associated
1990-01-20 11:40:00,F,S,I,M,associated
1990-01-20 12:10:00,E,S,O,M,associated
1990-01-21 04:29:00,D,S,I,M,associated
1990-01-21 16:04:00,E,A,I,M,associated
1990-01-22 11:55:00,E,A,O,M,associated
1990-01-23 05:03:00,D,K,C,M,associated
1990-01-23 05:03:00,D,A,I,M,associated
1990-01-24 20:01:00,C,K,O,M,associated
1990-02-22 14:40:00,E,K,C,M,associated
1990-02-23 12:53:00,D,K,C,M,associated
1990-02-23 16:14:00,D,A,O,M,associated
1990-02-24 03:17:00,D,A,O,M,associated
1990-02-27 23:28:00,D,A,O,M,associated
1990-02-28 05:07:00,D,A,I,M,associated
1990-02-28 14:30:00,D,K,O,M,associated
1990-02-28 15:52:00,D,K,O,M,associated
1990-03-01 03:39:00,D,A,I,M,associated
1990-03-01 03:56:00,D,A,I,M,associated
1990-03-01 05:33:00,D,A,I,M,associated
1990-03-02 01:20:00,D,A,O,M,associated
1990-03-13 21:37:00,D,A,O,M,associated
1990-03-18 11:15:00,F,A,I,M,associated
1990-03-19 13:12:00,E,A,I,M,associated
1990-03-19 13:50:00,D,K,O,M,associated
1990-03-20 15:14:00,E,K,O,M,associated
1990-03-20 20:09:00,E,K,O,M,associated
1990-03-20 20:25:00,F,K,I,M,associated
1990-03-20 23:02:00,F,K,I,M,associated
1990-03-22 05:34:00,D,A,O,M,associated
1990-03-23 12:52:00,E,K,O,M,associated
1990-03-25 11:15:00,F,K,C,M,associated
1990-03-25 16:13:00,E,A,C,M,associated
1990-03-25 19:32:00,F,K,I,M,associated
1990-03-26 03:41:00,F,K,I,M,associated
1990-03-26 04:09:00,F,K,I,M,associated
1990-03-28 07:31:00,F,K,O,M,associated
1990-03-28 09:32:00,D,A,O,M,associated
1990-04-02 17:04:00,E,H,O,M,associated
1990-04-04 13:15:00,C,A,O,M,associated
1990-04-05 13:35:00,D,S,O,M,associated
1990-04-08 03:44:00,C,S,O,M,associated
1990-04-10 11:44:00,B,X,O,M,associated
1990-04-14 03:53:00,C,A,I,M,associated
1990-04-14 12:20:00,D,A,I,M,associated
1990-04-15 11:47:00,F,A,O,M,associated
1990-04-16 06:30:00,F,A,O,X,associated
1990-04-17 14:18:00,F,K,O,M,associated
1990-04-18 02:50:00,F,A,I,M,associated
1990-04-18 03:32:00,D,A,I,M,associated
1990-04-20 18:18:00,E,A,O,M,associated
1990-04-23 12:35:00,D,S,I,M,associated
1990-05-08 00:22:00,C,S,O,M,associated
1990-05-08 18:46:00,F,A,I,M,associated
1990-05-11 20:58:00,E,H,I,X,associated
1990-05-12 00:27:00,E,A,O,M,associated
1990-05-13 12:50:00,C,A,I,M,associated
1990-05-14 14:52:00,E,K,I,M,associated
1990-05-15 00:29:00,E,A,I,M,associated
1990-05-15 12:46:00,D,K,I,X,associated
1990-05-16 00:43:00,E,K,O,M,associated
1990-05-17 03:07:00,E,K,I,M,associated
1990-05-17 09:59:00,C,A,O,M,associated
1990-05-18 21:10:00,E,K,I,M,associated
1990-05-19 12:53:00,F,K,C,M,associated
1990-05-21 22:12:00,E,K,I,X,associated
1990-05-22 00:07:00,F,K,I,M,associated
1990-05-22 00:07:00,B,X,O,M,associated
1990-05-23 07:18:00,F,K,I,M,associated
1990-05-24 05:59:00,F,K,O,M,associated
1990-05-26 17:18:00,E,A,I,M,associated
1990-05-28 15:04:00,C,S,O,M,associated
1990-06-06 16:38:00,D,A,O,M,associated
