,zurich,penumbra,compactness,x_ray_class,association
1982-06-20 22:24:00,F,K,C,M,associated
1982-06-21 00:58:00,F,K,I,M,associated
1982-06-21 02:44:00,F,K,I,M,associated
1982-06-21 03:50:00,F,K,I,M,associated
1982-06-21 11:13:00,F,A,I,M,associated
1982-06-21 16:07:00,F,A,C,M,associated
1982-06-21 22:14:00,F,K,I,M,associated
1982-06-21 22:55:00,F,K,I,X,associated
1982-06-22 14:22:00,F,K,I,M,associated
1982-06-22 18:29:00,F,K,I,M,associated
1982-06-23 00:01:00,F,K,I,M,associated
1982-06-23 10:18:00,F,K,C,M,associated
1982-06-23 11:53:00,F,K,C,M,associated
1982-06-24 22:38:00,F,K,I,M,associated
1982-06-25 21:34:00,F,K,I,M,associated
1982-06-26 00:42:00,F,K,I,X,associated
1982-06-26 09:17:00,E,K,I,M,associated
1982-06-26 09:38:00,E,K,I,M,associated
1982-06-26 19:09:00,E,A,O,X,associated
1982-06-27 10:19:00,D,S,O,M,associated
1982-07-08 09:50:00,E,K,O,M,associated
1982-07-08 14:23:00,E,K,I,M,associated
1982-07-09 00:18:00,E,K,C,M,associated
1982-07-09 08:25:00,E,K,I,X,associated
1982-07-09 16:16:00,F,K,C,M,associated
1982-07-09 18:36:00,F,K,C,M,associated
1982-07-09 20:18:00,F,K,C,M,associated
1982-07-09 21:05:00,E,K,C,M,associated
1982-07-09 22:07:00,D,R,O,M,associated
1982-07-09 22:54:00,E,K,C,M,associated
1982-07-09 23:03:00,E,K,C,M,associated
1982-07-10 01:11:00,E,K,C,M,associated
1982-07-10 23:21:00,E,K,C,M,associated
1982-07-11 02:35:00,D,A,O,M,associated
1982-07-11 04:21:00,E,K,C,M,associated
1982-07-11 07:38:00,E,K,C,M,associated
1982-07-11 08:07:00,F,K,C,M,associated
1982-07-11 09:53:00,F,K,C,M,associated
1982-07-11 10:45:00,F,K,C,M,associated
1982-07-11 13:37:00,F,K,C,M,associated
1982-07-11 16:42:00,F,K,C,M,associated
1982-07-11 17:06:00,F,K,C,M,associated
1982-07-11 17:06:00,F,K,C,M,associated
1982-07-11 17:06:00,F,K,C,M,associated
1982-07-11 17:06:00,F,K,C,M,associated
1982-07-12 00:53:00,F,K,C,M,associated
1982-07-12 03:10:00,F,K,C,M,associated
1982-07-12 07:47:00,D,A,O,M,associated
1982-07-12 07:47:00,D,A,O,M,associated
1982-07-12 09:16:00,F,K,C,X,associated
1982-07-12 18:11:00,F,K,C,M,associated
1982-07-12 19:07:00,F,K,C,M,associated
1982-07-12 20:35:00,F,K,C,M,associated
1982-07-13 09:49:00,F,K,I,M,associated
1982-07-13 11:13:00,D,A,I,M,associated
1982-07-13 21:49:00,D,K,O,M,associated
1982-07-14 10:09:00,F,K,I,M,associated
1982-07-14 13:13:00,F,K,I,M,associated
1982-07-14 14:50:00,F,K,I,M,associated
1982-07-14 17:25:00,E,K,I,M,associated
1982-07-14 18:37:00,F,K,C,M,associated
1982-07-14 20:30:00,F,K,C,M,associated
1982-07-15 12:01:00,E,A,I,M,associated
1982-07-16 08:57:00,F,K,C,M,associated
1982-07-16 12:46:00,F,K,C,M,associated
1982-07-16 14:26:00,E,S,O,M,associated
1982-07-16 15:16:00,F,K,I,M,associated
1982-07-16 18:52:00,F,K,I,M,associated
1982-07-16 23:52:00,F,K,C,M,associated
1982-07-17 10:28:00,F,K,C,X,associated
1982-07-17 12:33:00,F,K,C,M,associated
1982-07-17 13:41:00,D,S,I,M,associated
1982-07-17 23:10:00,F,K,I,M,associated
1982-07-18 11:35:00,F,K,I,M,associated
1982-07-18 11:35:00,A,X,X,M,associated
1982-07-19 08:41:00,E,A,I,M,associated
1982-07-19 09:02:00,F,A,I,M,associated
1982-07-19 12:52:00,E,A,I,M,associated
1982-07-19 18:07:00,F,K,I,M,associated
1982-07-19 18:44:00,F,K,I,M,associated
1982-07-20 09:55:00,F,K,I,M,associated
1982-07-20 12:06:00,F,K,I,M,associated
1982-07-20 12:52:00,E,A,I,M,associated
1982-07-21 10:11:00,D,A,O,M,associated
1982-07-21 16:39:00,D,A,I,M,associated
1982-07-21 18:15:00,D,A,I,M,associated
1982-08-06 23:19:00,E,A,O,M,associated
1982-08-07 12:01:00,D,A,O,M,associated
1982-08-08 09:28:00,E,H,I,M,associated
1982-08-10 10:30:00,F,K,I,M,associated
1982-08-13 22:59:00,E,K,I,M,associated
1982-08-14 02:37:00,F,H,O,M,associated
1982-08-26 22:54:00,E,H,I,M,associated
1982-08-27 09:03:00,E,K,C,M,associated
1982-09-01 07:31:00,D,K,I,M,associated
1982-09-04 00:01:00,D,S,I,M,associated
1982-09-15 18:17:00,D,K,I,M,associated
1982-09-26 23:15:00,E,A,I,M,associated
1982-09-30 01:32:00,E,K,I,M,associated
1982-10-06 22:56:00,H,A,X,M,associated
1982-10-23 12:53:00,E,K,I,M,associated
1982-10-24 14:06:00,C,H,O,M,associated
1982-10-25 22:48:00,D,H,I,M,associated
1982-11-10 17:51:00,E,H,C,M,associated
1982-11-12 14:07:00,E,K,I,X,associated
1982-11-12 23:52:00,F,K,C,M,associated
1982-11-13 14:36:00,F,H,I,M,associated
1982-11-14 00:07:00,F,K,C,M,associated
1982-11-15 16:01:00,E,K,I,M,associated
1982-11-16 20:41:00,F,K,C,M,associated
1982-11-17 13:57:00,F,A,I,M,associated
1982-11-20 10:07:00,F,K,I,M,associated
1982-11-21 11:37:00,E,K,C,M,associated
1982-11-21 14:14:00,E,K,C,M,associated
1982-11-22 12:24:00,F,K,I,M,associated
1982-11-24 21:26:00,E,K,I,M,associated
1982-12-02 17:33:00,D,A,I,M,associated
1982-12-02 21:07:00,D,A,I,M,associated
1982-12-03 23:00:00,E,A,I,M,associated
1982-12-05 16:15:00,E,A,I,M,associated
1982-12-07 10:01:00,D,K,O,M,associated
1982-12-07 15:10:00,E,H,I,M,associated
1982-12-07 17:43:00,D,K,C,M,associated
1982-12-07 17:48:00,D,S,O,M,associated
1982-12-07 23:36:00,D,S,O,X,associated
1982-12-08 08:28:00,E,K,O,M,associated
1982-12-08 11:06:00,E,K,O,M,associated
1982-12-09 14:44:00,E,K,I,M,associated
1982-12-09 17:36:00,E,A,C,M,associated
1982-12-09 19:00:00,E,K,I,M,associated
1982-12-09 21:45:00,E,K,I,M,associated
1982-12-09 22:57:00,E,K,I,M,associated
1982-12-10 12:04:00,E,K,I,M,associated
1982-12-10 18:14:00,E,K,I,M,associated
1982-12-11 09:49:00,E,K,O,M,associated
1982-12-12 13:22:00,C,S,O,M,associated
