0,2911
1,2907
2,2918
3,2930
4,2926
5,2941
6,2945
7,2947
8,2953
9,2958
10,2954
11,2964
12,2962
13,2971
14,2973
15,2984
16,2993
17,2999
18,3022
19,3027
20,3033
21,3025
22,3035
23,3028
24,3038
25,3049
26,3067
27,3080
28,3099
29,3079
30,3106
31,3112
32,3121
33,3152
34,3157
35,3158
36,3170
37,3178
38,3180
39,3188
40,3203
41,3204
42,3221
43,3219
44,3224
45,3234
46,3257
47,3266
48,3259
49,3267
50,3279
51,3284
52,3300
53,3293
54,3287
55,3307
56,3310
57,3298
58,3317
59,3314
60,3332
61,3329
62,3334
63,3359
64,3369
65,3377
66,3375
67,3388
68,3390
69,3403
70,3397
71,3406
72,3432
73,3450
74,3451
75,3456
76,3461
77,3464
78,3467
79,3471
80,3478
81,3477
82,3485
83,3484
84,3496
85,3505
86,3502
87,3492
88,3504
89,3487
90,3533
91,3522
92,3537
93,3539
94,3545
95,3550
96,3573
97,3576
98,3581
99,3577
100,3579
101,3583
102,3594
103,3589
104,3595
105,3602
106,3603
107,3607
108,3610
109,3614
110,3628
111,3625
112,3629
113,3640
114,3644
115,3643
116,3659
117,3662
118,3667
119,3658
120,3688
121,3681
122,3684
123,3693
124,3696
125,3702
126,3703
127,3717
128,3740
129,3753
130,3739
131,3748
132,3763
133,3776
134,3780
135,3781
136,3801
137,3804
138,3806
139,3812
140,3810
141,3830
142,3839
143,3829
144,3837
145,3845
146,3867
147,3870
148,3886
149,3908
150,3917
151,3922
152,3955
153,3960
154,3987
155,3994
156,4000
157,4012
158,4014
159,4017
160,4021
161,4007
162,4019
163,4022
164,4026
165,4025
166,4033
167,4032
168,4075
169,4077
170,4104
171,4116
172,4150
173,4154
174,4157
175,4165
176,4171
177,4172
178,4173
179,4175
180,4201
181,4204
182,4213
183,4227
184,4214
185,4235
186,4249
187,4251
188,4263
189,4269
190,4278
191,4279
192,4288
193,4284
194,4302
195,4307
196,4324
197,4328
198,4335
199,4343
200,4372
201,4393
202,4398
203,4396
204,4399
205,4397
206,4403
207,4406
208,4411
209,4408
210,4413
211,4421
212,4423
213,4422
214,4433
215,4443
216,4455
217,4458
218,4469
219,4471
220,4474
221,4481
222,4492
223,4532
224,4592
225,4598
226,4617
227,4647
228,4652
229,4671
230,4698
231,4710
232,4711
233,4713
234,4717
235,4726
236,4727
237,4750
238,4787
239,4790
